City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931
Millville,Utah,1912,788,Logan,144219,88,32,56,19,99,218,53,39.3,29,5,7,18,31,34.71%,$76350,3.1%,N/A,N/A,$303900,N/A,N/A,31,76.70%,11%,37%,36%,90,17 mins,2.70%,1.00%,29.60%,Cache County,18.30%,45.20%,1.17%,N/A,92.94%,4.60%,2.7%,Mountain Standard Time,4507,4.7,34.60%,36,N/A,32,17.6%,11.39,0,0,257
Newton,Utah,706,827,Logan,144219,89,33,56,19,103,220,64,40,30.1,5,7,19,40,31.65%,$54405,6.2%,N/A,N/A,$245000,N/A,N/A,45,84.00%,12%,37%,34%,89,22 mins,2.70%,1.00%,9.10%,Cache County,18.30%,45.20%,N/A,N/A,97.69%,1.40%,3.7%,Mountain Standard Time,4507,4.7,30.20%,6,N/A,34,18.5%,0.00,0,0,331
Nibley,Utah,6438,1539,Logan,144219,89,31,58,18,99,218,53,39.7,29.6,5,8,23,23,37.98%,$66094,1.5%,N/A,N/A,$304800,N/A,N/A,15,91.20%,12%,38%,35%,91,17 mins,2.70%,1.00%,35.20%,Cache County,18.30%,45.20%,N/A,N/A,91.32%,10.00%,4.8%,Mountain Standard Time,4507,4.7,32.40%,12,N/A,34,18.3%,5.56,0,0,264
North Logan,Utah,10140,1422,Logan,144219,89,31,58,18,99,222,53,39.7,29.6,5,8,25,25,47.19%,$65717,8.2%,$1196,1111,$317200,N/A,N/A,21,58.60%,11%,34%,32%,84,14 mins,2.70%,1.00%,30.60%,Cache County,18.30%,45.20%,4.76%,N/A,89.51%,4.80%,5.2%,Mountain Standard Time,4507,4.7,44.50%,8,N/A,41,15.1%,4.85,N/A,0,231
Paradise,Utah,1147,825,Logan,144219,87,32,55,23,103,225,80,38.3,28.1,5,8,20,29,34.87%,$66563,6.9%,N/A,N/A,$371700,N/A,N/A,30,81.20%,12%,33%,34%,94,26 mins,2.70%,1.00%,33.50%,Cache County,18.30%,45.20%,N/A,N/A,99.39%,1.90%,0.2%,Mountain Standard Time,4507,4.7,33.40%,6,N/A,26,17.9%,9.71,0,0,181
Providence,Utah,7173,1873,Logan,144219,88,32,56,19,99,219,53,39.6,29.2,5,8,25,30,48.97%,$64561,4%,N/A,N/A,$301900,N/A,N/A,19,84.30%,9%,34%,32%,86,17 mins,2.70%,1.00%,10.30%,Cache County,18.30%,45.20%,1.09%,N/A,95.61%,5.00%,3.7%,Mountain Standard Time,4507,4.7,33.50%,N/A,N/A,N/A,16.7%,5.76,0,0,243
Richmond,Utah,2580,750,Logan,144219,89,32,57,19,103,218,64,39.4,29.3,5,8,22,31,27.81%,$53226,7.2%,N/A,N/A,$257000,N/A,N/A,42,68.90%,11%,38%,34%,94,17 mins,2.70%,1.00%,-2.30%,Cache County,18.30%,45.20%,N/A,N/A,97.04%,3.00%,1.9%,Mountain Standard Time,4507,4.7,38.80%,18,N/A,38,18.5%,36.76,0,0,200
River Heights,Utah,2028,3000,Logan,144219,89,31,58,18,99,221,53,39.7,29.6,5,7,18,32,53.39%,$67778,3.8%,N/A,N/A,$308500,N/A,N/A,38,86.70%,12%,37%,34%,84,17 mins,2.70%,1.00%,8.90%,Cache County,18.30%,45.20%,N/A,N/A,94.13%,2.00%,2.5%,Mountain Standard Time,4507,4.7,33.80%,28,N/A,N/A,18.0%,0.00,0,0,244
Smithfield,Utah,10832,2080,Logan,144219,89,31,58,17,101,221,56,39.7,29.7,5,8,11,27,37.53%,$57697,4.9%,$1125,1298,$271400,N/A,N/A,24,80.30%,12%,37%,34%,90,19 mins,2.70%,1.00%,20.90%,Cache County,18.30%,45.20%,1.09%,N/A,95.99%,5.50%,4.1%,Mountain Standard Time,4507,4.7,33.20%,47,N/A,39,17.2%,18.93,0,0,242
Trenton,Utah,413,50,Logan,144219,89,31,58,19,92,219,57,40.7,30.5,5,8,22,33,27.27%,$50278,7%,N/A,N/A,$229900,N/A,N/A,54,70.60%,11%,37%,34%,90,17 mins,2.70%,1.00%,-18.50%,Cache County,18.30%,45.20%,N/A,N/A,97.05%,11.10%,1.2%,Mountain Standard Time,4507,4.7,32.20%,6,N/A,25,14.3%,38.91,0,0,285
Wellsville,Utah,3641,501,Logan,144219,89,31,58,18,98,219,53,39.8,29.8,N/A,9,25,27,34.28%,$65057,5.3%,N/A,N/A,$302200,N/A,N/A,38,88.10%,10%,36%,37%,91,22 mins,2.70%,1.00%,11.50%,Cache County,18.30%,45.20%,N/A,N/A,94.84%,7.90%,1.3%,Mountain Standard Time,4507,4.7,34.30%,16,N/A,28,16.4%,23.47,0,0,287
